,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Age_missing_0
53,2,29,1,0,26.0,0,0,1,0
54,1,65,0,1,61.9792,1,0,0,0
55,1,28,0,0,35.5,1,0,1,1
56,2,21,0,0,10.5,0,0,1,0
57,3,28,0,0,7.2292,1,0,0,0
58,2,5,1,2,27.75,0,0,1,0
59,3,11,5,2,46.9,1,0,1,0
60,3,22,0,0,7.2292,1,0,0,0
62,1,45,1,0,83.475,1,0,1,0
63,3,4,3,2,27.9,1,0,1,0
64,1,28,0,0,27.7208,1,0,0,1
65,3,28,1,1,15.2458,1,0,0,1
66,2,29,0,0,10.5,0,0,1,0
67,3,19,0,0,8.1583,1,0,1,0
68,3,17,4,2,7.925,0,0,1,0
69,3,26,2,0,8.6625,1,0,1,0
70,2,32,0,0,10.5,1,0,1,0
71,3,16,5,2,46.9,0,0,1,0
72,2,21,0,0,73.5,1,0,1,0
73,3,26,1,0,14.4542,1,0,0,0
74,3,32,0,0,56.4958,1,0,1,0
75,3,25,0,0,7.65,1,0,1,0
76,3,28,0,0,7.8958,1,0,1,1
77,3,28,0,0,8.05,1,0,1,1
78,2,0,0,2,29.0,1,0,1,0
79,3,30,0,0,12.475,0,0,1,0
80,3,22,0,0,9.0,1,0,1,0
81,3,29,0,0,9.5,1,0,1,0
82,3,28,0,0,7.7875,0,1,0,1
83,1,28,0,0,47.1,1,0,1,0
84,2,17,0,0,10.5,0,0,1,0
85,3,33,3,0,15.85,0,0,1,0
86,3,16,1,3,34.375,1,0,1,0
87,3,28,0,0,8.05,1,0,1,1
88,1,23,3,2,263.0,0,0,1,0
89,3,24,0,0,8.05,1,0,1,0
90,3,29,0,0,8.05,1,0,1,0
91,3,20,0,0,7.8542,1,0,1,0
92,1,46,1,0,61.175,1,0,1,0
93,3,26,1,2,20.575,1,0,1,0
94,3,59,0,0,7.25,1,0,1,0
95,3,28,0,0,8.05,1,0,1,1
96,1,71,0,0,34.6542,1,0,0,0
97,1,23,0,1,63.3583,1,0,0,0
98,2,34,0,1,23.0,0,0,1,0
99,2,34,1,0,26.0,1,0,1,0
100,3,28,0,0,7.8958,0,0,1,0
101,3,28,0,0,7.8958,1,0,1,1
102,1,21,0,1,77.2875,1,0,1,0
103,3,33,0,0,8.6542,1,0,1,0
104,3,37,2,0,7.925,1,0,1,0
105,3,28,0,0,7.8958,1,0,1,0
106,3,21,0,0,7.65,0,0,1,0
107,3,28,0,0,7.775,1,0,1,1
108,3,38,0,0,7.8958,1,0,1,0
109,3,28,1,0,24.15,0,1,0,1
110,1,47,0,0,52.0,1,0,1,0
111,3,14,1,0,14.4542,0,0,0,0
112,3,22,0,0,8.05,1,0,1,0
113,3,20,1,0,9.825,0,0,1,0
114,3,17,0,0,14.4583,0,0,0,0
115,3,21,0,0,7.925,1,0,1,0
116,3,70,0,0,7.75,1,1,0,0
117,2,29,1,0,21.0,1,0,1,0
118,1,24,0,1,247.5208,1,0,0,0
119,3,2,4,2,31.275,0,0,1,0
120,2,21,2,0,73.5,1,0,1,0
121,3,28,0,0,8.05,1,0,1,1
122,2,32,1,0,30.0708,1,0,0,0
123,2,32,0,0,13.0,0,0,1,0
124,1,54,0,1,77.2875,1,0,1,0
125,3,12,1,0,11.2417,1,0,0,0
126,3,28,0,0,7.75,1,1,0,1
127,3,24,0,0,7.1417,1,0,1,0
128,3,28,1,1,22.3583,0,0,0,1
129,3,45,0,0,6.975,1,0,1,0
130,3,33,0,0,7.8958,1,0,0,0
131,3,20,0,0,7.05,1,0,1,0
132,3,47,1,0,14.5,0,0,1,0
133,2,29,1,0,26.0,0,0,1,0
134,2,25,0,0,13.0,1,0,1,0
135,2,23,0,0,15.0458,1,0,0,0
136,1,19,0,2,26.2833,0,0,1,0
137,1,37,1,0,53.1,1,0,1,0
138,3,16,0,0,9.2167,1,0,1,0
139,1,24,0,0,79.2,1,0,0,0
140,3,28,0,2,15.2458,0,0,0,1
141,3,22,0,0,7.75,0,0,1,0
142,3,24,1,0,15.85,0,0,1,0
143,3,19,0,0,6.75,1,1,0,0
144,2,18,0,0,11.5,1,0,1,0
145,2,19,1,1,36.75,1,0,1,0
146,3,27,0,0,7.7958,1,0,1,0
147,3,9,2,2,34.375,0,0,1,0
148,2,36,0,2,26.0,1,0,1,0
149,2,42,0,0,13.0,1,0,1,0
150,2,51,0,0,12.525,1,0,1,0
151,1,22,1,0,66.6,0,0,1,0
152,3,55,0,0,8.05,1,0,1,0
153,3,40,0,2,14.5,1,0,1,0
154,3,28,0,0,7.3125,1,0,1,1
155,1,51,0,1,61.3792,1,0,0,0
156,3,16,0,0,7.7333,0,1,0,0
157,3,30,0,0,8.05,1,0,1,0
158,3,28,0,0,8.6625,1,0,1,1
159,3,28,8,2,69.55,1,0,1,1
160,3,44,0,1,16.1,1,0,1,0
161,2,40,0,0,15.75,0,0,1,0
162,3,26,0,0,7.775,1,0,1,0
163,3,17,0,0,8.6625,1,0,1,0
164,3,1,4,1,39.6875,1,0,1,0
165,3,9,0,2,20.525,1,0,1,0
166,1,28,0,1,55.0,0,0,1,1
167,3,45,1,4,27.9,0,0,1,0
168,1,28,0,0,25.925,1,0,1,1
169,3,28,0,0,56.4958,1,0,1,0
170,1,61,0,0,33.5,1,0,1,0
171,3,4,4,1,29.125,1,1,0,0
172,3,1,1,1,11.1333,0,0,1,0
173,3,21,0,0,7.925,1,0,1,0
174,1,56,0,0,30.6958,1,0,0,0
175,3,18,1,1,7.8542,1,0,1,0
176,3,28,3,1,25.4667,1,0,1,1
177,1,50,0,0,28.7125,0,0,0,0
178,2,30,0,0,13.0,1,0,1,0
179,3,36,0,0,0.0,1,0,1,0
180,3,28,8,2,69.55,0,0,1,1
181,2,28,0,0,15.05,1,0,0,1
182,3,9,4,2,31.3875,1,0,1,0
183,2,1,2,1,39.0,1,0,1,0
184,3,4,0,2,22.025,0,0,1,0
185,1,28,0,0,50.0,1,0,1,1
186,3,28,1,0,15.5,0,1,0,1
187,1,45,0,0,26.55,1,0,1,0
188,3,40,1,1,15.5,1,1,0,0
189,3,36,0,0,7.8958,1,0,1,0
190,2,32,0,0,13.0,0,0,1,0
191,2,19,0,0,13.0,1,0,1,0
192,3,19,1,0,7.8542,0,0,1,0
193,2,3,1,1,26.0,1,0,1,0
194,1,44,0,0,27.7208,0,0,0,0
195,1,58,0,0,146.5208,0,0,0,0
196,3,28,0,0,7.75,1,1,0,1
197,3,42,0,1,8.4042,1,0,1,0
198,3,28,0,0,7.75,0,1,0,1
199,2,24,0,0,13.0,0,0,1,0
200,3,28,0,0,9.5,1,0,1,0
201,3,28,8,2,69.55,1,0,1,1
202,3,34,0,0,6.4958,1,0,1,0
203,3,45,0,0,7.225,1,0,0,0
204,3,18,0,0,8.05,1,0,1,0
205,3,2,0,1,10.4625,0,0,1,0
206,3,32,1,0,15.85,1,0,1,0
207,3,26,0,0,18.7875,1,0,0,0
208,3,16,0,0,7.75,0,1,0,0
209,1,40,0,0,31.0,1,0,0,0
210,3,24,0,0,7.05,1,0,1,0
211,2,35,0,0,21.0,0,0,1,0
212,3,22,0,0,7.25,1,0,1,0
213,2,30,0,0,13.0,1,0,1,0
214,3,28,1,0,7.75,1,1,0,1
215,1,31,1,0,113.275,0,0,0,0
216,3,27,0,0,7.925,0,0,1,0
217,2,42,1,0,27.0,1,0,1,0
218,1,32,0,0,76.2917,0,0,0,0
219,2,30,0,0,10.5,1,0,1,0
220,3,16,0,0,8.05,1,0,1,0
221,2,27,0,0,13.0,1,0,1,0
222,3,51,0,0,8.05,1,0,1,0
223,3,28,0,0,7.8958,1,0,1,1
224,1,38,1,0,90.0,1,0,1,0
225,3,22,0,0,9.35,1,0,1,0
226,2,19,0,0,10.5,1,0,1,0
227,3,20,0,0,7.25,1,0,1,0
228,2,18,0,0,13.0,1,0,1,0
229,3,28,3,1,25.4667,0,0,1,1
230,1,35,1,0,83.475,0,0,1,0
231,3,29,0,0,7.775,1,0,1,0
232,2,59,0,0,13.5,1,0,1,0
233,3,5,4,2,31.3875,0,0,1,0
234,2,24,0,0,10.5,1,0,1,0
235,3,28,0,0,7.55,0,0,1,1
236,2,44,1,0,26.0,1,0,1,0
237,2,8,0,2,26.25,0,0,1,0
238,2,19,0,0,10.5,1,0,1,0
239,2,33,0,0,12.275,1,0,1,0
240,3,28,1,0,14.4542,0,0,0,1
241,3,28,1,0,15.5,0,1,0,1
242,2,29,0,0,10.5,1,0,1,0
243,3,22,0,0,7.125,1,0,1,0
244,3,30,0,0,7.225,1,0,0,0
245,1,44,2,0,90.0,1,1,0,0
246,3,25,0,0,7.775,0,0,1,0
247,2,24,0,2,14.5,0,0,1,0
248,1,37,1,1,52.5542,1,0,1,0
249,2,54,1,0,26.0,1,0,1,0
250,3,28,0,0,7.25,1,0,1,1
251,3,29,1,1,10.4625,0,0,1,0
252,1,62,0,0,26.55,1,0,1,0
253,3,30,1,0,16.1,1,0,1,0
254,3,41,0,2,20.2125,0,0,1,0
255,3,29,0,2,15.2458,0,0,0,0
256,1,28,0,0,79.2,0,0,0,1
257,1,30,0,0,86.5,0,0,1,0
258,1,35,0,0,512.3292,0,0,0,0
259,2,50,0,1,26.0,0,0,1,0
260,3,28,0,0,7.75,1,1,0,1
261,3,3,4,2,31.3875,1,0,1,0
262,1,52,1,1,79.65,1,0,1,0
263,1,40,0,0,0.0,1,0,1,0
264,3,28,0,0,7.75,0,1,0,1
265,2,36,0,0,10.5,1,0,1,0
266,3,16,4,1,39.6875,1,0,1,0
267,3,25,1,0,7.775,1,0,1,0
268,1,58,0,1,153.4625,0,0,1,0
269,1,35,0,0,135.6333,0,0,1,0
270,1,28,0,0,31.0,1,0,1,1
271,3,25,0,0,0.0,1,0,1,0
272,2,41,0,1,19.5,0,0,1,0
273,1,37,0,1,29.7,1,0,0,0
274,3,28,0,0,7.75,0,1,0,1
275,1,63,1,0,77.9583,0,0,1,0
276,3,45,0,0,7.75,0,0,1,0
277,2,28,0,0,0.0,1,0,1,1
278,3,7,4,1,29.125,1,1,0,0
279,3,35,1,1,20.25,0,0,1,0
280,3,65,0,0,7.75,1,1,0,0
281,3,28,0,0,7.8542,1,0,1,0
282,3,16,0,0,9.5,1,0,1,0
283,3,19,0,0,8.05,1,0,1,0
284,1,28,0,0,26.0,1,0,1,1
285,3,33,0,0,8.6625,1,0,0,0
286,3,30,0,0,9.5,1,0,1,0
287,3,22,0,0,7.8958,1,0,1,0
288,2,42,0,0,13.0,1,0,1,0
289,3,22,0,0,7.75,0,1,0,0
290,1,26,0,0,78.85,0,0,1,0
291,1,19,1,0,91.0792,0,0,0,0
292,2,36,0,0,12.875,1,0,0,0
293,3,24,0,0,8.85,0,0,1,0
294,3,24,0,0,7.8958,1,0,1,0
295,1,28,0,0,27.7208,1,0,0,1
296,3,23,0,0,7.2292,1,0,0,0
297,1,2,1,2,151.55,0,0,1,0
298,1,28,0,0,30.5,1,0,1,1
299,1,50,0,1,247.5208,0,0,0,0
300,3,28,0,0,7.75,0,1,0,1
301,3,28,2,0,23.25,1,1,0,1
302,3,19,0,0,0.0,1,0,1,0
303,2,28,0,0,12.35,0,1,0,1
304,3,28,0,0,8.05,1,0,1,1
305,1,0,1,2,151.55,1,0,1,0
306,1,28,0,0,110.8833,0,0,0,1
307,1,17,1,0,108.9,0,0,0,0
308,2,30,1,0,24.0,1,0,0,0
309,1,30,0,0,56.9292,0,0,0,0
310,1,24,0,0,83.1583,0,0,0,0
311,1,18,2,2,262.375,0,0,0,0
312,2,26,1,1,26.0,0,0,1,0
313,3,28,0,0,7.8958,1,0,1,0
314,2,43,1,1,26.25,1,0,1,0
315,3,26,0,0,7.8542,0,0,1,0
316,2,24,1,0,26.0,0,0,1,0
317,2,54,0,0,14.0,1,0,1,0
318,1,31,0,2,164.8667,0,0,1,0
319,1,40,1,1,134.5,0,0,0,0
320,3,22,0,0,7.25,1,0,1,0
321,3,27,0,0,7.8958,1,0,1,0
322,2,30,0,0,12.35,0,1,0,0
323,2,22,1,1,29.0,0,0,1,0
324,3,28,8,2,69.55,1,0,1,1
325,1,36,0,0,135.6333,0,0,0,0
326,3,61,0,0,6.2375,1,0,1,0
327,2,36,0,0,13.0,0,0,1,0
328,3,31,1,1,20.525,0,0,1,0
329,1,16,0,1,57.9792,0,0,0,0
330,3,28,2,0,23.25,0,1,0,1
331,1,45,0,0,28.5,1,0,1,0
332,1,38,0,1,153.4625,1,0,1,0
333,3,16,2,0,18.0,1,0,1,0
334,1,28,1,0,133.65,0,0,1,1
335,3,28,0,0,7.8958,1,0,1,1
336,1,29,1,0,66.6,1,0,1,0
337,1,41,0,0,134.5,0,0,0,0
338,3,45,0,0,8.05,1,0,1,0
339,1,45,0,0,35.5,1,0,1,0
340,2,2,1,1,26.0,1,0,1,0
341,1,24,3,2,263.0,0,0,1,0
342,2,28,0,0,13.0,1,0,1,0
343,2,25,0,0,13.0,1,0,1,0
344,2,36,0,0,13.0,1,0,1,0
345,2,24,0,0,13.0,0,0,1,0
346,2,40,0,0,13.0,0,0,1,0
347,3,28,1,0,16.1,0,0,1,1
348,3,3,1,1,15.9,1,0,1,0
349,3,42,0,0,8.6625,1,0,1,0
350,3,23,0,0,9.225,1,0,1,0
351,1,28,0,0,35.0,1,0,1,1
352,3,15,1,1,7.2292,1,0,0,0
353,3,25,1,0,17.8,1,0,1,0
354,3,28,0,0,7.225,1,0,0,1
355,3,28,0,0,9.5,1,0,1,0
356,1,22,0,1,55.0,0,0,1,0
357,2,38,0,0,13.0,0,0,1,0
358,3,28,0,0,7.8792,0,1,0,1
359,3,28,0,0,7.8792,0,1,0,1
360,3,40,1,4,27.9,1,0,1,0
361,2,29,1,0,27.7208,1,0,0,0
362,3,45,0,1,14.4542,0,0,0,0
363,3,35,0,0,7.05,1,0,1,0
364,3,28,1,0,15.5,1,1,0,1
365,3,30,0,0,7.25,1,0,1,0
366,1,60,1,0,75.25,0,0,0,0
367,3,28,0,0,7.2292,0,0,0,1
368,3,28,0,0,7.75,0,1,0,1
369,1,24,0,0,69.3,0,0,0,0
370,1,25,1,0,55.4417,1,0,0,0
371,3,18,1,0,6.4958,1,0,1,0
372,3,19,0,0,8.05,1,0,1,0
373,1,22,0,0,135.6333,1,0,0,0
374,3,3,3,1,21.075,0,0,1,0
375,1,28,1,0,82.1708,0,0,0,1
376,3,22,0,0,7.25,0,0,1,0
377,1,27,0,2,211.5,1,0,0,0
378,3,20,0,0,4.0125,1,0,0,0
379,3,19,0,0,7.775,1,0,1,0
380,1,42,0,0,227.525,0,0,0,0
381,3,1,0,2,15.7417,0,0,0,0
382,3,32,0,0,7.925,1,0,1,0
383,1,35,1,0,52.0,0,0,1,0
384,3,28,0,0,7.8958,1,0,1,1
385,2,18,0,0,73.5,1,0,1,0
386,3,1,5,2,46.9,1,0,1,0
387,2,36,0,0,13.0,0,0,1,0
388,3,28,0,0,7.7292,1,1,0,1
389,2,17,0,0,12.0,0,0,0,0
390,1,36,1,2,120.0,1,0,1,0
391,3,21,0,0,7.7958,1,0,1,0
392,3,28,2,0,7.925,1,0,1,0
393,1,23,1,0,113.275,0,0,0,0
394,3,24,0,2,16.7,0,0,1,0
395,3,22,0,0,7.7958,1,0,1,0
396,3,31,0,0,7.8542,0,0,1,0
397,2,46,0,0,26.0,1,0,1,0
398,2,23,0,0,10.5,1,0,1,0
399,2,28,0,0,12.65,0,0,1,0
400,3,39,0,0,7.925,1,0,1,0
401,3,26,0,0,8.05,1,0,1,0
402,3,21,1,0,9.825,0,0,1,0
403,3,28,1,0,15.85,1,0,1,0
404,3,20,0,0,8.6625,0,0,1,0
405,2,34,1,0,21.0,1,0,1,0
406,3,51,0,0,7.75,1,0,1,0
407,2,3,1,1,18.75,1,0,1,0
408,3,21,0,0,7.775,1,0,1,0
409,3,28,3,1,25.4667,0,0,1,1
410,3,28,0,0,7.8958,1,0,1,1
411,3,28,0,0,6.8583,1,1,0,1
412,1,33,1,0,90.0,0,1,0,0
413,2,28,0,0,0.0,1,0,1,1
414,3,44,0,0,7.925,1,0,1,0
415,3,28,0,0,8.05,0,0,1,1
416,2,34,1,1,32.5,0,0,1,0
417,2,18,0,2,13.0,0,0,1,0
418,2,30,0,0,13.0,1,0,1,0
419,3,10,0,2,24.15,0,0,1,0
420,3,28,0,0,7.8958,1,0,0,1
421,3,21,0,0,7.7333,1,1,0,0
422,3,29,0,0,7.875,1,0,1,0
423,3,28,1,1,14.4,0,0,1,0
424,3,18,1,1,20.2125,1,0,1,0
425,3,28,0,0,7.25,1,0,1,1
426,2,28,1,0,26.0,0,0,1,0
427,2,19,0,0,26.0,0,0,1,0
428,3,28,0,0,7.75,1,1,0,1
429,3,32,0,0,8.05,1,0,1,0
430,1,28,0,0,26.55,1,0,1,0
431,3,28,1,0,16.1,0,0,1,1
432,2,42,1,0,26.0,0,0,1,0
433,3,17,0,0,7.125,1,0,1,0
434,1,50,1,0,55.9,1,0,1,0
435,1,14,1,2,120.0,0,0,1,0
436,3,21,2,2,34.375,0,0,1,0
437,2,24,2,3,18.75,0,0,1,0
438,1,64,1,4,263.0,1,0,1,0
439,2,31,0,0,10.5,1,0,1,0
440,2,45,1,1,26.25,0,0,1,0
441,3,20,0,0,9.5,1,0,1,0
442,3,25,1,0,7.775,1,0,1,0
443,2,28,0,0,13.0,0,0,1,0
444,3,28,0,0,8.1125,1,0,1,1
445,1,4,0,2,81.8583,1,0,1,0
446,2,13,0,1,19.5,0,0,1,0
447,1,34,0,0,26.55,1,0,1,0
448,3,5,2,1,19.2583,0,0,0,0
449,1,52,0,0,30.5,1,0,1,0
450,2,36,1,2,27.75,1,0,1,0
451,3,28,1,0,19.9667,1,0,1,1
452,1,30,0,0,27.75,1,0,0,0
453,1,49,1,0,89.1042,1,0,0,0
454,3,28,0,0,8.05,1,0,1,1
455,3,29,0,0,7.8958,1,0,0,0
456,1,65,0,0,26.55,1,0,1,0
457,1,28,1,0,51.8625,0,0,1,1
458,2,50,0,0,10.5,0,0,1,0
459,3,28,0,0,7.75,1,1,0,1
460,1,48,0,0,26.55,1,0,1,0
461,3,34,0,0,8.05,1,0,1,0
462,1,47,0,0,38.5,1,0,1,0
463,2,48,0,0,13.0,1,0,1,0
464,3,28,0,0,8.05,1,0,1,1
465,3,38,0,0,7.05,1,0,1,0
466,2,28,0,0,0.0,1,0,1,1
467,1,56,0,0,26.55,1,0,1,0
468,3,28,0,0,7.725,1,1,0,1
469,3,0,2,1,19.2583,0,0,0,0
470,3,28,0,0,7.25,1,0,1,1
471,3,38,0,0,8.6625,1,0,1,0
472,2,33,1,2,27.75,0,0,1,0
473,2,23,0,0,13.7917,0,0,0,0
474,3,22,0,0,9.8375,0,0,1,0
475,1,28,0,0,52.0,1,0,1,1
476,2,34,1,0,21.0,1,0,1,0
477,3,29,1,0,7.0458,1,0,1,0
478,3,22,0,0,7.5208,1,0,1,0
479,3,2,0,1,12.2875,0,0,1,0
480,3,9,5,2,46.9,1,0,1,0
481,2,28,0,0,0.0,1,0,1,1
482,3,50,0,0,8.05,1,0,1,0
483,3,63,0,0,9.5875,0,0,1,0
484,1,25,1,0,91.0792,1,0,0,0
485,3,28,3,1,25.4667,0,0,1,1
486,1,35,1,0,90.0,0,0,1,0
487,1,58,0,0,29.7,1,0,0,0
488,3,30,0,0,8.05,1,0,1,0
489,3,9,1,1,15.9,1,0,1,0
490,3,28,1,0,19.9667,1,0,1,1
491,3,21,0,0,7.25,1,0,1,0
492,1,55,0,0,30.5,1,0,1,0
493,1,71,0,0,49.5042,1,0,0,0
494,3,21,0,0,8.05,1,0,1,0
495,3,28,0,0,14.4583,1,0,0,1
496,1,54,1,0,78.2667,0,0,0,0
497,3,28,0,0,15.1,1,0,1,1
498,1,25,1,2,151.55,0,0,1,0
499,3,24,0,0,7.7958,1,0,1,0
500,3,17,0,0,8.6625,1,0,1,0
501,3,21,0,0,7.75,0,1,0,0
502,3,28,0,0,7.6292,0,1,0,1
503,3,37,0,0,9.5875,0,0,1,0
504,1,16,0,0,86.5,0,0,1,0
505,1,18,1,0,108.9,1,0,0,0
506,2,33,0,2,26.0,0,0,1,0
507,1,28,0,0,26.55,1,0,1,1
508,3,28,0,0,22.525,1,0,1,0
509,3,26,0,0,56.4958,1,0,1,0
510,3,29,0,0,7.75,1,1,0,0
511,3,28,0,0,8.05,1,0,1,1
512,1,36,0,0,26.2875,1,0,1,0
513,1,54,1,0,59.4,0,0,0,0
514,3,24,0,0,7.4958,1,0,1,0
515,1,47,0,0,34.0208,1,0,1,0
516,2,34,0,0,10.5,0,0,1,0
517,3,28,0,0,24.15,1,1,0,1
518,2,36,1,0,26.0,0,0,1,0
519,3,32,0,0,7.8958,1,0,1,0
520,1,30,0,0,93.5,0,0,1,0
521,3,22,0,0,7.8958,1,0,1,0
522,3,28,0,0,7.225,1,0,0,1
523,1,44,0,1,57.9792,0,0,0,0
524,3,28,0,0,7.2292,1,0,0,1
525,3,40,0,0,7.75,1,1,0,0
526,2,50,0,0,10.5,0,0,1,0
527,1,28,0,0,221.7792,1,0,1,1
528,3,39,0,0,7.925,1,0,1,0
529,2,23,2,1,11.5,1,0,1,0
530,2,2,1,1,26.0,0,0,1,0
531,3,28,0,0,7.2292,1,0,0,1
532,3,17,1,1,7.2292,1,0,0,0
533,3,28,0,2,22.3583,0,0,0,1
534,3,30,0,0,8.6625,0,0,1,0
535,2,7,0,2,26.25,0,0,1,0
536,1,45,0,0,26.55,1,0,1,0
537,1,30,0,0,106.425,0,0,0,0
538,3,28,0,0,14.5,1,0,1,1
539,1,22,0,2,49.5,0,0,0,0
540,1,36,0,2,71.0,0,0,1,0
541,3,9,4,2,31.275,0,0,1,0
542,3,11,4,2,31.275,0,0,1,0
543,2,32,1,0,26.0,1,0,1,0
544,1,50,1,0,106.425,1,0,0,0
545,1,64,0,0,26.0,1,0,1,0
546,2,19,1,0,26.0,0,0,1,0
547,2,28,0,0,13.8625,1,0,0,1
548,3,33,1,1,20.525,1,0,1,0
549,2,8,1,1,36.75,1,0,1,0
550,1,17,0,2,110.8833,1,0,0,0
551,2,27,0,0,26.0,1,0,1,0
552,3,28,0,0,7.8292,1,1,0,1
553,3,22,0,0,7.225,1,0,0,0
554,3,22,0,0,7.775,0,0,1,0
555,1,62,0,0,26.55,1,0,1,0
556,1,48,1,0,39.6,0,0,0,0
557,1,28,0,0,227.525,1,0,0,1
558,1,39,1,1,79.65,0,0,1,0
559,3,36,1,0,17.4,0,0,1,0
560,3,28,0,0,7.75,1,1,0,1
561,3,40,0,0,7.8958,1,0,1,0
562,2,28,0,0,13.5,1,0,1,0
563,3,28,0,0,8.05,1,0,1,1
564,3,28,0,0,8.05,0,0,1,1
565,3,24,2,0,24.15,1,0,1,0
566,3,19,0,0,7.8958,1,0,1,0
567,3,29,0,4,21.075,0,0,1,0
568,3,28,0,0,7.2292,1,0,0,1
569,3,32,0,0,7.8542,1,0,1,0
570,2,62,0,0,10.5,1,0,1,0
571,1,53,2,0,51.4792,0,0,1,0
572,1,36,0,0,26.3875,1,0,1,0
573,3,28,0,0,7.75,0,1,0,1
574,3,16,0,0,8.05,1,0,1,0
575,3,19,0,0,14.5,1,0,1,0
576,2,34,0,0,13.0,0,0,1,0
577,1,39,1,0,55.9,0,0,1,0
578,3,28,1,0,14.4583,0,0,0,1
579,3,32,0,0,7.925,1,0,1,0
580,2,25,1,1,30.0,0,0,1,0
581,1,39,1,1,110.8833,0,0,0,0
582,2,54,0,0,26.0,1,0,1,0
583,1,36,0,0,40.125,1,0,0,0
584,3,28,0,0,8.7125,1,0,0,1
585,1,18,0,2,79.65,0,0,1,0
586,2,47,0,0,15.0,1,0,1,0
587,1,60,1,1,79.2,1,0,0,0
588,3,22,0,0,8.05,1,0,1,0
589,3,28,0,0,8.05,1,0,1,1
590,3,35,0,0,7.125,1,0,1,0
591,1,52,1,0,78.2667,0,0,0,0
592,3,47,0,0,7.25,1,0,1,0
593,3,28,0,2,7.75,0,1,0,1
594,2,37,1,0,26.0,1,0,1,0
595,3,36,1,1,24.15,1,0,1,0
596,2,28,0,0,33.0,0,0,1,1
597,3,49,0,0,0.0,1,0,1,0
598,3,28,0,0,7.225,1,0,0,1
599,1,49,1,0,56.9292,1,0,0,0
600,2,24,2,1,27.0,0,0,1,0
601,3,28,0,0,7.8958,1,0,1,1
602,1,28,0,0,42.4,1,0,1,1
603,3,44,0,0,8.05,1,0,1,0
604,1,35,0,0,26.55,1,0,0,0
605,3,36,1,0,15.55,1,0,1,0
606,3,30,0,0,7.8958,1,0,1,0
607,1,27,0,0,30.5,1,0,1,0
608,2,22,1,2,41.5792,0,0,0,0
609,1,40,0,0,153.4625,0,0,1,0
610,3,39,1,5,31.275,0,0,1,0
611,3,28,0,0,7.05,1,0,1,1
612,3,28,1,0,15.5,0,1,0,1
613,3,28,0,0,7.75,1,1,0,1
614,3,35,0,0,8.05,1,0,1,0
615,2,24,1,2,65.0,0,0,1,0
616,3,34,1,1,14.4,1,0,1,0
617,3,26,1,0,16.1,0,0,1,0
618,2,4,2,1,39.0,0,0,1,0
619,2,26,0,0,10.5,1,0,1,0
620,3,27,1,0,14.4542,1,0,0,0
621,1,42,1,0,52.5542,1,0,1,0
622,3,20,1,1,15.7417,1,0,0,0
